Concepts under StatPP/Data
@ID,rdfs:LABEL,skos:NOTATION,dct:DESCRIPTION,dct:REFERENCES
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/176,"Heavy ice pellets",176,"+PE, +PL (Heavy ice pellets, AUTO only)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/97,"Thunderstorm with heavy rain/snow",97,"+TSRA, +TSSN (Thunderstorm with heavy rain or snow)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/69,"Moderate/heavy rain/drizzle and snow",69,"RASN, SNRA, SNDZ, +RASN,+SNRA, DZSN, +DZSN, +SNDZ (Moderate rain or drizzle and snow mixed also heavy rain or drizzle and snow mixed)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/63,"Moderate rain",63,"RA (Moderate rain)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/183,"Heavy rain shower",183,"+SHRA (Heavy rain showers, augmented ASOS only)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/76,"Ice crystals",76,"IC (Ice crystals)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/196,"Heavy thunderstorm with hail",196,"+TSGR (Thunderstorm, heavy with hail)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/9,"Dust/sand storm in vicinity",9,"VCDS, VCSS (Dust storm between 5 and 10 miles from the station, also sandstorm in the vicinity)","http://codes.wmo.int/306/4678/VCSS , http://codes.wmo.int/306/4678/VCDS",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/121,"Unknown precipitation",121,"UP (Unknown precipitation from ASOS)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/83,"Light rain and snow shower",83,"-SHRASN, -SHSNRA (Light showers of rain and snow mixed)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/55,"Heavy drizzle",55,"+DZ (Heavy continuous drizzle)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/96,"Thunderstorm with hail",96,"TSGR, TSGS (Thunderstorm with hail)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/68,"Light rain/drizzle and snow",68,"-RASN, -SNRA, -DZSN, -SNDZ (Light rain or drizzle and snow mixed)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/90,"Large hail",90,"GR (Hail > 1/4 inch in diameter)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/34,"Heavy dust/sand storm",34,"+DS, +SS (Heavy duststorm, also heavy sandstorm)","http://codes.wmo.int/306/4678/+SS , http://codes.wmo.int/306/4678/+DS",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/75,"Heavy snow",75,"+SN (Heavy continuous snowfall)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/19,"Tornado/waterspout/funnel cloud",19,"+FC, FC (Tornado or waterspout, also funnel cloud)","http://codes.wmo.int/306/4678/FC , http://codes.wmo.int/306/4678/+FC",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/8,"Dust or sand whirls",8,"PO, VCPO (Dust whirls or sand whirls, dust or sand between 5 and 10 miles from station)","http://codes.wmo.int/306/4678/VCPO , http://codes.wmo.int/306/4678/PO",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/88,"Small hail",88,"GS (Small hail < 1/4 inch in diameter or snow pellets)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/41,"Patchy fog",41,"BCFG (Patchy fog)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/174,"Light ice pellets",174,"-PE, -PL (Light ice pellets, AUTO only)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/95,"Thunderstorm with light/moderate rain/snow",95,"TSRA, -TSRA, -TSSN, TSSN (Thunderstorms with light or moderate rain or snow)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/67,"Moderate/heavy freezing rain",67,"FZRA, +FZRA (Moderate or heavy freezing rain)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/187,"Heavy snow shower",187,"+SHSN (Heavy snow showers, augmented ASOS only)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/39,"Heavy blowing snow",39,"+BLSN (Heavy blowing snow (MANU))",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/61,"Light rain",61,"-RA (Light rain)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/9999,"Missing weather",9999,"missing (station unable to report present weather)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/166,"Heavy freezing rain",166,"+FZRA (Heavy freezing rain, AUTO only)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/18,"Squalls",18,"SQ (Squalls)","http://codes.wmo.int/306/4678/SQ",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/7,"Blowing dust/sand",7,"BLDU, BLSA (Blowing dust, blowing sand)","http://codes.wmo.int/306/4678/BLSA , http://codes.wmo.int/306/4678/BLDU",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/59,"Moderate/heavy rain and drizzle",59,"RADZ, +RADZ, DZRA, +DZRA (Moderate or heavy rain and drizzle)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/204,"Volcanic ash",204,"VA (Volcanic ash)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/40,"Fog in vicinity",40,"VCFG (Fog between 5 and 10 miles from the station)","http://codes.wmo.int/306/4678/VCFG",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/81,"Moderate/heavy rain shower",81,"SHRA, +SHRA (Moderate or heavy rain shower)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/53,"Moderate drizzle",53,"DZ (Moderate continuous drizzle)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/66,"Light freezing rain",66,"-FZRA (Light freezing rain)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/38,"Blowing snow",38,"BLSN, -BLSN, BLSA, DRSN (Blowing snow.  In MOS2000: with or without the presence of any of the other phenomena)","http://codes.wmo.int/306/4678/BLSA , http://codes.wmo.int/306/4678/_-BLSN , http://codes.wmo.int/306/4678/DRSN , http://codes.wmo.int/306/4678/BLSN",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/79,"Ice pellets",79,"PE, PL, +PE, +PL, -PL (ice pellets) (PL after 11/05/98)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/73,"Moderate snow",73,"SN (Moderate continuous snowfall)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/45,"Fog",45,"FG, MIFG (Fog, visibility < 5/8 sm)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/17,"Dry thunderstorm/thunderstorm in vicinity",17,"TS, VCTS (Thunderstorms with no precipitation, also thunderstorm in the vicinity)","http://codes.wmo.int/306/4678/VCTS , http://codes.wmo.int/306/4678/TS",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/6,"Dust",6,"DU (Dust)","http://codes.wmo.int/306/4678/DU",
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/86,"Moderate/heavy snow shower",86,"SHSN, +SHSN (Moderate or heavy snow showers)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/58,"Light rrain and drizzle",58,"-RADZ, -DZRA (Light rain and drizzle)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/11,"Spray",11,"PY (Spray)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/0,"No weather",0,"No weather reported",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/80,"Light rain shower",80,"-SHRA (Light rain shower)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/65,"Heavy rain",65,"+RA (Heavy rain)",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx/37,"Heavy drifting snow",37,"+DRSN (Heavy drifting snow)","http://codes.wmo.int/306/4678/+DRSN",
https://codes.nws.noaa.gov/StatPP/Data/Ocean/Waves/WvPd,"Wave period",WvPd,"Wave period with no further specification.  Likely a compilation of values from a variety of observing platforms.","http://codes.wmo.int/grib2/codeflag/4.2/10-0-15",
https://codes.nws.noaa.gov/StatPP/Data/Ocean/Waves/DomWvPd,"Dominant wave period","DomWvPd","Dominant wave period. Likely a compilation of values from a variety of observing platforms ","http://codes.wmo.int/grib2/codeflag/4.2/10-0-11",
https://codes.nws.noaa.gov/StatPP/Data/Ocean/Waves/WvDir,"Wave direction",WvDir,"Wave direction with no further specification.  Likely a compilation of values from a variety of observing platforms.","http://codes.wmo.int/grib2/codeflag/4.2/10-0-14",
https://codes.nws.noaa.gov/StatPP/Data/Ocean/Waves/WvHght,"Wave height","Wave height","Wave height with no further specification. Likely a compilation of values from a variety of observing platforms. ","http://codes.wmo.int/grib2/codeflag/4.2/10-0-3",
https://codes.nws.noaa.gov/StatPP/Data/Source/GFS13,"Global Forecast System v13","GFS13","Version 13 of the Global Forecast System, developed and operated by NOAA's National Centers for Environmental Prediction (NCEP).",,
https://codes.nws.noaa.gov/StatPP/Data/Source/NBM0301Inputs,"NBM v3.1 Inputs","NBM0301Inputs","The National Blend of Models Project is an effort to develop a nationally consistent set of foundational gridded guidance products based on well-calibrated NWS and non-NWS model information.  NBM v3.1 runs hourly and combines data from the latest runs of the following NWP systems:  HRRR, RAP, Gridded LAMP, NAM, NAMNest, High-resolution ARW, High-resolution NMMB, SREF, GFS, GEFS, Gridded MOS, EKDMOS, GEPS, NAVGEME.",,
https://codes.nws.noaa.gov/StatPP/Data/Source/NDBC,"National Data Buoy Center","NDBC","NOAA's National Data Buoy Center (NDBC) designs, develops, operates, and maintains a network of data collecting buoys and coastal stations.",,
https://codes.nws.noaa.gov/StatPP/Data/Source/NCEPSfcObsMETAR,"Surface Obs from NCEP","NCEPSfcObsMETAR","NOAA's National Centers for Environmental Prediction (NCEP) capture substantial amounts of observational data.  Some of these are surface observations, encoded in the METAR code form.",,
https://codes.nws.noaa.gov/StatPP/Data/Source/MADISMesonet,"MADIS Mesonet Obs","MADISMesonet","NOAA's National Centers for Environmental Prediction (NCEP) operates the Meteorological Assimilation Data Ingest System (MADIS).  MADIS is a meteorological observational database and data delivery system that provides observations that cover the globe.  This dataset includes mesonet data from MADIS.",,
https://codes.nws.noaa.gov/StatPP/Data/Source/MDL,"Meteorological Development Lab","MDL","The Meteorological Development Laboratory (MDL) of the National Weather Service's (NWS) Office of Science and Technology Integration (OSTI).  MDL conducts and sponsors applied research and development for the improvement of diagnostic and prognostic weather information; data depiction and utilization; warning and forecast product preparation; and data and forecast evaluation. ","https://www.weather.gov/mdl",
https://codes.nws.noaa.gov/StatPP/Data/Time/FcstRefTime,"Forecast Reference Time","FcstRefTime","In NWP, the ""data time"", i.e. the time of the analysis from which the forecast was made.",,
https://codes.nws.noaa.gov/StatPP/Data/Time/FcstCyc,"Forecast Cycle","FcstCyc","""An instant in time that generally recurs daily and is used to distinguish among NWP simulations run on the same day.  This concept can be encoded in a variety of ways.  Least preferred are 2-digit and 4-digit integers.  The most preferred encoding is to express the forecast cycle as a Unix Epoch Time which is arbitrarily assigned to the epoch date of 1970-1-1.  Generally used to support cycle time stratification of a StatPP technique.","https://en.wikipedia.org/wiki/Unix_time",
https://codes.nws.noaa.gov/StatPP/Data/Time/LeadTime,"Lead Time","LeadTime","A duration of time measured from forecast_reference_time to the time when some phenomenon is observed or forecast to occur.  For netCDF-CAMPS, we recommend that data producers adopt the term “lead time” and use it uniformly.",,
https://codes.nws.noaa.gov/StatPP/Data/Time/SeasEndDay,"End of Season","SeasEndDay","""An instant in time that generally recurs annually and is used to designate the last date each year when these parameters are intended for use.  This concept can be encoded in a variety of ways.  Least preferred are 2-digit and 4-digit integers.  The most preferred encoding is to represent the annually recurring date by encoding midnight UTC on that same date in the epoch year of 1970.  (E.g. the date 01 October would be encoded as 23587200, which is the Unix epoch time at 1970-1-1T00:00:00.)  Generally used to support seasonal stratification of a StatPP technique.""","https://en.wikipedia.org/wiki/Unix_time",
https://codes.nws.noaa.gov/StatPP/Data/Time/SeasBeginDay,"Beginning of Season","SeasBeginDay","""An instant in time that generally recurs annually and is used to designate the first date each year when these parameters are intended for use.  This concept can be encoded in a variety of ways.  Least preferred are 2-digit and 4-digit integers.  The most preferred encoding is to represent the annually recurring date by encoding midnight UTC on that same date in the epoch year of 1970.  (E.g. the date 01 October would be encoded as 23587200, which is the Unix epoch time at 1970-1-1T00:00:00.    Generally used to support seasonal stratification of a StatPP technique.""","https://en.wikipedia.org/wiki/Unix_time",
https://codes.nws.noaa.gov/StatPP/Data/Time/ValidTime,"Valid Time","ValidTime","Time period during which the result is intended to be used (ISO 19156).",,
https://codes.nws.noaa.gov/StatPP/Data/Time/SeasDayFmt/Epch,"Epoch Time Seasonal Date Format","Epch","""A technique that represents an annually recurring date by encoding midnight UTC on that same date in the epoch year of 1970.  (E.g. the date 01 October would be encoded as 23587200, which is the Unix epoch time at 1970-1-1T00:00:00.)""","https://en.wikipedia.org/wiki/Unix_time",
https://codes.nws.noaa.gov/StatPP/Data/Time/SeasDayFmt/MMDD,"Month-day Seasonal Date Format","MMDD","An encoding of the first day of a season that uses a 4-digit integer encoded as MMDD",,
https://codes.nws.noaa.gov/StatPP/Data/Time/FcstCycFmt/HHMM,"4-digit Forecast Cycle Format","HHMM","A 4-digit integer encoding of forecast cycle time",,
https://codes.nws.noaa.gov/StatPP/Data/Time/FcstCycFmt/Epch,"Epoch Time Forecast Cycle Format","Epch","An encoding of forecast cycle time that represents the daily recurring time on 1970-1-1.  (E.g., the forecast cycle time of 0600 UTC would be encoded as 21600, which is the Unix epoch time at 1970-1-1T06:00:00.)","https://en.wikipedia.org/wiki/Unix_time",
https://codes.nws.noaa.gov/StatPP/Data/Time/FcstCycFmt/HH,"2-digit Forecast Cycle Format","HH","A 2-digit integer encoding of forecast cycle time",,
